INDEX_DATE,ITEM_ID,ITEM_DESC,INDEX_ALGORITHM,STRATUM_IND,ITEM_INDEX,ALL_GM_INDEX,GM_RA_INDEX,COICOP_WEIGHT,ITEM_WEIGHT,CPIH_COICOP_WEIGHT
201802,430358,ELECTRIC HEATER -SEASONAL,2,1,102.317,101.706,101.706,0.64,0.35,0.48
201802,630336,FOOTBALL,2,1,104.884,104.299,104.299,0.51,0.4,0.34
201802,211007,CANNED MEAT-STEWED STEAK,1,1,101.025,101.04,101.025,0.2,0.12,0.16
201802,510122,MEN'S TRACKSUIT/JOGGIN BOTTOMS,2,1,99.992,99.592,99.592,0.52,0.45,0.42
201802,620308,MINICAB FARE FOR 2 MILES,1,2,100.147,100.157,100.147,2.16,1.12,1.8
201802,410619,SOFTWOOD-1.6M-2.4M LENGTH,1,1,100.223,100.358,100.223,0.13,0.64,0.13
201802,220208,STAFF RESTAURNT HOT SNACK ITEM,1,1,99.661,99.452,99.661,1.28,0.42,0.96
201802,440257,HOUSEHLD SERVICES MAINT POLICY,2,0,100,100,100,0.5,0.95,0.5
201802,212710,AVOCADO PEAR-EACH,1,1,99.268,98.295,98.312,0.45,0.42,0.4
201802,630332,CHILD'S SOFT TOY/TEDDY BEAR,2,1,98.752,96.81,96.81,1.26,0.4,1.02
201802,630333,COMPUTER GAMES CONSOLE,1,0,101.841,101.841,101.841,3.15,0.6,2.55
201802,212722,GRAPES-PER KG,1,1,100.391,101.859,101.387,0.81,0.77,0.72
